                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.006,                 1.8296,                 1.1298,                0.98444,                 0.5817,                0.76448,                 0.5962,                0.80565,                 2.6865,                0.97769,             0.00065041,             0.00065041,             0.00065041
                      2,                0.86917,                0.97729,                 1.0231,                0.84347,                0.64416,                0.74217,                0.49016,                 1.1886,                 1.8341,                  1.211,               0.001291,               0.001291,               0.001291
                      3,                0.91582,                0.82973,                 1.0406,                0.67649,                0.56322,                0.60022,                0.36387,                 1.4407,                 1.8107,                 1.4236,              0.0019052,              0.0019052,              0.0019052
                      4,                0.90756,                0.70631,                 1.0336,                0.77313,                0.77011,                0.80089,                 0.5907,                0.97308,                 2.6737,                 1.0641,              0.0018812,              0.0018812,              0.0018812
                      5,                0.88146,                0.63212,                 1.0278,                0.84996,                0.86897,                0.91905,                0.64477,                0.99631,                0.86868,                  1.094,              0.0018416,              0.0018416,              0.0018416
                      6,                 0.8605,                0.58809,                 1.0165,                0.94164,                0.90115,                0.93752,                0.72861,                0.81827,                0.80748,                  0.997,               0.001802,               0.001802,               0.001802
                      7,                0.82104,                0.55781,                 1.0016,                0.92673,                0.76782,                0.84774,                0.65298,                0.86445,                 1.0894,                 1.0301,              0.0017624,              0.0017624,              0.0017624
                      8,                0.81627,                0.54267,                 1.0029,                0.93287,                0.92639,                 0.9605,                0.70095,                0.89798,                0.54967,                 1.0056,              0.0017228,              0.0017228,              0.0017228
                      9,                0.78892,                 0.5133,                0.98845,                  0.962,                0.93121,                0.97114,                0.73688,                0.79063,                0.53931,                0.97447,              0.0016832,              0.0016832,              0.0016832
                     10,                0.76488,                    0.5,                0.98285,                0.95259,                0.92874,                0.95466,                0.74103,                0.77585,                0.47567,                0.96536,              0.0016436,              0.0016436,              0.0016436
                     11,                0.76418,                0.48907,                0.98323,                0.96787,                0.94713,                0.97105,                0.79868,                0.68349,                0.44001,                0.91639,               0.001604,               0.001604,               0.001604
                     12,                 0.7587,                0.49451,                0.98019,                 0.9615,                0.94023,                 0.9718,                0.77781,                0.74992,                0.44375,                0.93275,              0.0015644,              0.0015644,              0.0015644
                     13,                0.74196,                 0.4758,                0.97193,                0.96407,                0.92414,                 0.9665,                0.80034,                0.67635,                0.42491,                0.92838,              0.0015248,              0.0015248,              0.0015248
                     14,                0.72949,                0.46486,                0.96688,                0.96939,                0.94633,                 0.9744,                0.71067,                0.89115,                 0.4664,                  1.017,              0.0014852,              0.0014852,              0.0014852
                     15,                0.71698,                0.45614,                0.95936,                0.94638,                0.95632,                0.97454,                0.78363,                0.72013,                0.49988,                0.94336,              0.0014456,              0.0014456,              0.0014456
                     16,                0.71407,                0.44611,                0.95779,                0.96657,                0.94943,                0.97757,                0.79834,                  0.653,                0.40068,                 0.9093,               0.001406,               0.001406,               0.001406
                     17,                0.70253,                 0.4391,                0.95561,                0.95673,                0.96567,                0.97443,                0.73812,                0.84731,                0.42708,                0.99502,              0.0013664,              0.0013664,              0.0013664
                     18,                  0.701,                0.43721,                0.95794,                0.97892,                0.96086,                 0.9827,                0.83317,                0.61537,                0.35494,                0.89799,              0.0013268,              0.0013268,              0.0013268
                     19,                0.71665,                0.44257,                0.95825,                0.96774,                0.96537,                0.98541,                0.83299,                0.60055,                 0.3467,                0.89224,              0.0012872,              0.0012872,              0.0012872
                     20,                0.68203,                0.42638,                0.95373,                0.96735,                0.95344,                0.98227,                0.79613,                0.69238,                0.38367,                0.93103,              0.0012476,              0.0012476,              0.0012476
                     21,                0.67819,                 0.4177,                0.94829,                0.97597,                0.95632,                0.98016,                0.83604,                0.60437,                0.34965,                0.89367,               0.001208,               0.001208,               0.001208
                     22,                0.66919,                0.40679,                0.94557,                0.96595,                0.94943,                0.97975,                0.82948,                0.64615,                0.37743,                 0.9069,              0.0011684,              0.0011684,              0.0011684
