                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,0.65474,0.37856,1.0303,0.95408,0.95521,0.97522,0.82586,0.65054,0.35977,1.0164,0.00066365,0.00066365,0.00066365
2,0.72697,0.43897,1.0636,0.96429,0.94483,0.97939,0.80668,0.6871,0.39824,1.0225,0.0012815,0.0012815,0.0012815
3,0.72862,0.44351,1.065,0.9687,0.96092,0.97861,0.80209,0.68697,0.38627,1.0374,0.0018505,0.0018505,0.0018505
4,0.76107,0.46407,1.0873,0.96823,0.93563,0.97095,0.80323,0.6918,0.39977,1.0336,0.00178,0.00178,0.00178
5,0.74585,0.45328,1.0714,0.97161,0.94415,0.97673,0.81097,0.69795,0.40427,1.0489,0.0017067,0.0017067,0.0017067
6,0.72962,0.4523,1.0663,0.97151,0.94085,0.98039,0.81491,0.68213,0.38766,1.039,0.0016333,0.0016333,0.0016333
7,0.73248,0.43493,1.0729,0.9425,0.95862,0.97868,0.79659,0.72328,0.38177,1.0789,0.00156,0.00156,0.00156
8,0.72488,0.43437,1.0626,0.95692,0.97026,0.98159,0.82414,0.66743,0.36541,1.0274,0.0014867,0.0014867,0.0014867
9,0.70519,0.4256,1.0542,0.96325,0.96415,0.97618,0.81225,0.69201,0.37758,1.0501,0.0014133,0.0014133,0.0014133
10,0.69616,0.41129,1.0473,0.96795,0.94943,0.9745,0.82033,0.64992,0.35647,1.0043,0.00134,0.00134,0.00134
11,0.68586,0.4019,1.04,0.96212,0.96552,0.97753,0.83552,0.62179,0.35184,0.99871,0.0012667,0.0012667,0.0012667
12,0.67213,0.39205,1.0315,0.97198,0.95708,0.97976,0.85096,0.60041,0.33107,0.97705,0.0011933,0.0011933,0.0011933
13,0.66514,0.39444,1.0378,0.96967,0.95862,0.9766,0.83785,0.62067,0.33984,0.99989,0.00112,0.00112,0.00112
14,0.65712,0.37801,1.0236,0.96998,0.95632,0.9764,0.84425,0.60628,0.33635,0.98722,0.0010467,0.0010467,0.0010467
15,0.66423,0.37818,1.0308,0.96525,0.95789,0.98432,0.8542,0.60183,0.33212,0.97802,0.00097333,0.00097333,0.00097333
16,0.64469,0.36978,1.018,0.96743,0.95862,0.98261,0.8437,0.60451,0.31802,0.98574,0.0009,0.0009,0.0009
17,0.64653,0.36319,1.0245,0.95708,0.97241,0.98219,0.84713,0.60359,0.31263,0.98741,0.00082667,0.00082667,0.00082667
18,0.58305,0.31032,0.96088,0.96398,0.97011,0.98156,0.84467,0.61637,0.31866,1.001,0.00075333,0.00075333,0.00075333
19,0.57829,0.30253,0.95661,0.97245,0.95862,0.98542,0.86186,0.5764,0.31018,0.97073,0.00068,0.00068,0.00068
20,0.55884,0.29432,0.94589,0.95869,0.97241,0.98571,0.86865,0.55593,0.29358,0.95015,0.00060667,0.00060667,0.00060667
21,0.54934,0.28553,0.93962,0.96996,0.96502,0.98864,0.87217,0.5504,0.2888,0.95388,0.00053333,0.00053333,0.00053333
22,0.53685,0.27566,0.93222,0.97228,0.96756,0.98561,0.85598,0.5887,0.29394,0.96982,0.00046,0.00046,0.00046
23,0.52895,0.27094,0.92518,0.96867,0.96322,0.98421,0.85634,0.57262,0.29513,0.97068,0.00038667,0.00038667,0.00038667
24,0.51018,0.26292,0.92514,0.96535,0.97011,0.98644,0.87164,0.5514,0.27962,0.96152,0.00031333,0.00031333,0.00031333
25,0.50621,0.26021,0.91665,0.96675,0.96782,0.98488,0.87493,0.53053,0.26781,0.94867,0.00024,0.00024,0.00024
26,0.48886,0.2514,0.90988,0.96019,0.97471,0.98506,0.86523,0.54751,0.27241,0.95863,0.00016667,0.00016667,0.00016667
27,0.49384,0.24686,0.90823,0.96123,0.97471,0.98611,0.878,0.52959,0.26529,0.94848,9.33E-05,9.33E-05,9.33E-05
