                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1038,                 1.1164,                 1.4795,                0.64758,                0.67126,                0.62266,                0.41083,                 1.1784,                 2.7429,                 1.6654,             0.00066435,             0.00066435,             0.00066435
                      2,                  1.125,                0.88259,                 1.4421,                0.91712,                0.83941,                0.91404,                0.67397,                 0.9727,                 1.2581,                 1.4921,              0.0013047,              0.0013047,              0.0013047
                      3,                  1.068,                  0.789,                 1.4059,                0.94276,                0.87082,                0.93881,                0.71454,                0.90342,                0.65887,                 1.3709,              0.0019186,              0.0019186,              0.0019186
                      4,                 1.0035,                0.70388,                 1.3448,                0.96325,                0.92184,                0.96002,                0.74979,                0.84954,                0.55579,                 1.2877,              0.0018812,              0.0018812,              0.0018812
                      5,                0.96414,                0.64228,                 1.3142,                0.95453,                0.91954,                0.96085,                 0.7678,                0.79429,                0.55125,                 1.2528,              0.0018416,              0.0018416,              0.0018416
                      6,                0.93301,                0.61536,                 1.2857,                0.97117,                0.92938,                0.95594,                0.76434,                0.78846,                0.51309,                  1.264,               0.001802,               0.001802,               0.001802
                      7,                0.89907,                0.57129,                 1.2616,                0.96637,                0.94253,                0.97269,                 0.7765,                0.77282,                0.44862,                   1.22,              0.0017624,              0.0017624,              0.0017624
                      8,                0.86063,                0.53269,                  1.243,                0.98257,                0.90725,                0.96778,                0.78382,                0.74786,                0.45469,                 1.1937,              0.0017228,              0.0017228,              0.0017228
                      9,                0.84917,                 0.5276,                 1.2279,                0.95372,                0.94751,                 0.9717,                0.79655,                0.73815,                0.43369,                 1.1972,              0.0016832,              0.0016832,              0.0016832
                     10,                0.82012,                0.50924,                 1.2088,                0.97615,                0.94079,                0.96648,                0.78332,                0.76081,                0.43521,                 1.2261,              0.0016436,              0.0016436,              0.0016436
                     11,                0.80387,                0.49059,                 1.2044,                0.95903,                0.95632,                0.97891,                0.79736,                0.72499,                0.39026,                  1.177,               0.001604,               0.001604,               0.001604
                     12,                0.82091,                0.49858,                 1.2102,                0.96719,                0.95632,                0.97754,                0.81766,                0.68305,                0.36983,                 1.1402,              0.0015644,              0.0015644,              0.0015644
                     13,                0.78372,                0.46683,                 1.1796,                0.95741,                0.95402,                0.97561,                 0.7993,                0.72209,                0.39879,                 1.1605,              0.0015248,              0.0015248,              0.0015248
                     14,                0.79635,                0.46439,                 1.1795,                0.97636,                0.94713,                0.97327,                0.80997,                 0.7045,                0.37037,                 1.1727,              0.0014852,              0.0014852,              0.0014852
                     15,                0.77552,                0.45655,                  1.168,                 0.9654,                  0.962,                0.97369,                0.82039,                0.67678,                0.36195,                 1.1474,              0.0014456,              0.0014456,              0.0014456
                     16,                0.75294,                0.44239,                 1.1555,                0.97361,                0.94713,                0.97372,                0.79199,                0.70823,                0.39901,                 1.1687,               0.001406,               0.001406,               0.001406
