                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0022,                 1.9149,                 1.1395,                0.98218,                0.76043,                0.89498,                0.67101,                0.80246,                 2.7236,                0.98837,             0.00064912,             0.00064912,             0.00064912
                      2,                 0.8966,                 1.0003,                 1.0219,                0.91066,                0.65612,                0.80048,                0.55108,                 1.1009,                 1.4595,                 1.1922,              0.0012897,              0.0012897,              0.0012897
                      3,                0.91767,                0.82992,                 1.0374,                0.89787,                0.72414,                0.82198,                0.60494,                0.91694,                 1.2476,                 1.0513,               0.001904,               0.001904,               0.001904
                      4,                0.91354,                0.72439,                 1.0331,                0.88486,                0.92414,                0.93868,                 0.6956,                0.89617,                  1.178,                 1.1145,              0.0018812,              0.0018812,              0.0018812
                      5,                0.87793,                0.64846,                 1.0222,                 0.9391,                0.88628,                0.94518,                0.72896,                0.79517,                0.88624,                 1.0054,              0.0018416,              0.0018416,              0.0018416
                      6,                0.84953,                 0.5963,                 1.0061,                0.90115,                0.85924,                0.92707,                0.67317,                  1.003,                0.90913,                 1.1586,               0.001802,               0.001802,               0.001802
                      7,                0.84364,                0.56892,                 1.0064,                0.96863,                0.91954,                0.96794,                0.73124,                0.79909,                0.56854,                0.98078,              0.0017624,              0.0017624,              0.0017624
                      8,                0.80192,                0.53468,                0.99355,                0.96214,                0.90805,                0.94958,                0.73198,                0.79553,                0.51564,                 1.0012,              0.0017228,              0.0017228,              0.0017228
                      9,                0.79061,                0.52665,                0.98317,                0.95737,                0.95632,                0.97597,                0.76829,                0.78141,                0.45551,                0.99122,              0.0016832,              0.0016832,              0.0016832
                     10,                0.80631,                0.51621,                  0.988,                0.96184,                0.92874,                0.96463,                0.79483,                0.66437,                0.55427,                0.91021,              0.0016436,              0.0016436,              0.0016436
                     11,                0.76822,                0.49904,                0.97692,                0.97392,                0.94451,                 0.9721,                0.73639,                0.83186,                0.49979,                0.99281,               0.001604,               0.001604,               0.001604
                     12,                0.77555,                0.49146,                0.97376,                0.97153,                0.94153,                0.97985,                0.75311,                0.82859,                 0.5044,                 1.0269,              0.0015644,              0.0015644,              0.0015644
                     13,                0.75096,                0.47242,                0.97164,                0.96141,                0.95172,                0.96888,                0.78703,                0.68787,                0.43987,                0.94696,              0.0015248,              0.0015248,              0.0015248
                     14,                0.74327,                0.47677,                0.97265,                0.96439,                0.96092,                0.97833,                0.79838,                0.63658,                0.41731,                0.91238,              0.0014852,              0.0014852,              0.0014852
                     15,                0.73132,                0.46522,                0.96165,                0.95853,                0.95637,                0.97648,                0.79952,                0.62713,                0.38603,                0.90253,              0.0014456,              0.0014456,              0.0014456
                     16,                0.73779,                0.45832,                0.95692,                0.97026,                0.94713,                0.98005,                0.75855,                0.75303,                 0.3985,                0.98073,               0.001406,               0.001406,               0.001406
