                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97064,                 1.3721,                 1.0937,                0.94725,                0.90814,                0.94686,                0.70925,                0.88113,                 1.0219,                  1.028,             0.00066481,             0.00066481,             0.00066481
                      2,                0.94949,                0.84058,                 1.0681,                0.93157,                0.87624,                0.94204,                0.72427,                0.87302,                0.73611,                 1.0202,              0.0013051,              0.0013051,              0.0013051
                      3,                0.96043,                0.74382,                 1.0768,                0.94893,                0.92644,                0.95648,                0.73741,                0.84006,                0.59914,                 1.0063,               0.001919,               0.001919,               0.001919
                      4,                0.91112,                0.67487,                 1.0437,                0.95783,                0.93976,                0.97021,                0.76247,                0.77941,                0.51054,                0.95922,              0.0018812,              0.0018812,              0.0018812
                      5,                0.89485,                0.62949,                 1.0403,                0.96409,                0.94713,                0.97275,                0.76522,                0.80726,                 0.5379,                   0.98,              0.0018416,              0.0018416,              0.0018416
                      6,                 0.8665,                0.60033,                 1.0325,                0.97158,                  0.943,                0.97228,                0.78334,                0.74422,                0.48591,                0.96451,               0.001802,               0.001802,               0.001802
                      7,                0.85748,                0.56704,                 1.0247,                0.97634,                0.94869,                0.97711,                0.76602,                0.76253,                0.47007,                0.96062,              0.0017624,              0.0017624,              0.0017624
                      8,                0.84126,                0.56061,                 1.0156,                0.96261,                0.94682,                0.97365,                0.78223,                0.74933,                0.46234,                0.94847,              0.0017228,              0.0017228,              0.0017228
                      9,                 0.8185,                0.54401,                 1.0109,                0.95784,                0.95402,                0.97298,                0.79425,                0.71195,                0.41879,                 0.9395,              0.0016832,              0.0016832,              0.0016832
                     10,                0.80343,                 0.5229,                  1.005,                 0.9778,                0.93333,                0.97638,                0.75745,                0.79806,                0.43697,                0.97026,              0.0016436,              0.0016436,              0.0016436
                     11,                0.80429,                0.52028,                  1.006,                0.96735,                0.95172,                0.97797,                0.80002,                0.68872,                0.40462,                0.92689,               0.001604,               0.001604,               0.001604
                     12,                0.79718,                0.50988,                 1.0016,                0.98546,                0.93508,                0.98197,                0.79075,                0.72231,                0.40173,                0.94433,              0.0015644,              0.0015644,              0.0015644
                     13,                0.77232,                0.49896,                0.99463,                0.97215,                0.96295,                0.98062,                0.81106,                0.66759,                0.40549,                0.91043,              0.0015248,              0.0015248,              0.0015248
                     14,                0.77562,                0.49584,                0.99228,                0.96088,                0.95989,                 0.9773,                0.79283,                0.75143,                0.39522,                 0.9492,              0.0014852,              0.0014852,              0.0014852
                     15,                0.76648,                0.48281,                0.98334,                0.96774,                0.95402,                0.97765,                0.82714,                0.63217,                0.37817,                0.91173,              0.0014456,              0.0014456,              0.0014456
