                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.008,                0.96526,                 1.2533,                0.55122,                0.43484,                0.49335,                0.28304,                 1.8451,                 2.9886,                 2.1354,             0.00066365,             0.00066365,             0.00066365
                      2,                 1.1004,                 0.8534,                 1.3159,                0.74743,                0.79595,                0.76661,                0.50633,                 1.1106,                 2.1143,                 1.5038,               0.001304,               0.001304,               0.001304
                      3,                 1.0572,                 0.7877,                 1.2919,                0.86776,                0.74943,                0.83613,                0.54207,                 1.2156,                 1.1223,                 1.4754,              0.0019179,              0.0019179,              0.0019179
                      4,                   1.02,                0.74276,                 1.2641,                0.94009,                0.86568,                0.93123,                0.71133,                0.89685,                0.67685,                 1.2144,              0.0018812,              0.0018812,              0.0018812
                      5,                0.96555,                0.66639,                 1.2124,                0.95715,                0.88506,                0.93884,                0.70219,                0.92195,                0.63528,                 1.2691,              0.0018416,              0.0018416,              0.0018416
                      6,                0.93477,                0.63157,                 1.1939,                0.94509,                0.91007,                0.95774,                0.72704,                0.87926,                0.58013,                 1.1832,               0.001802,               0.001802,               0.001802
                      7,                0.89606,                0.58597,                 1.1786,                0.94528,                0.87373,                0.93736,                0.72337,                 0.8551,                0.68533,                 1.1701,              0.0017624,              0.0017624,              0.0017624
                      8,                0.89775,                0.58995,                 1.1673,                0.96547,                0.91264,                  0.966,                0.79187,                0.73104,                0.51518,                 1.0735,              0.0017228,              0.0017228,              0.0017228
                      9,                0.86829,                0.57386,                 1.1588,                0.96331,                0.93103,                0.96728,                0.77951,                0.78134,                0.48605,                 1.1047,              0.0016832,              0.0016832,              0.0016832
                     10,                0.84232,                0.53606,                 1.1363,                0.95745,                0.93114,                0.96447,                0.78597,                0.74387,                0.45424,                 1.0742,              0.0016436,              0.0016436,              0.0016436
                     11,                0.83384,                0.53157,                 1.1292,                0.95906,                0.94713,                0.97445,                0.79968,                0.73425,                0.44566,                 1.0539,               0.001604,               0.001604,               0.001604
                     12,                0.83347,                  0.515,                 1.1299,                0.95178,                0.95279,                0.96934,                 0.7965,                0.72073,                0.42911,                 1.0599,              0.0015644,              0.0015644,              0.0015644
                     13,                0.82125,                0.50315,                 1.1293,                0.96177,                0.93563,                0.96113,                0.76414,                 0.7649,                0.46081,                 1.0984,              0.0015248,              0.0015248,              0.0015248
                     14,                0.78911,                 0.4861,                 1.1034,                0.97348,                0.92814,                0.95476,                0.78602,                 0.7161,                0.46222,                 1.0673,              0.0014852,              0.0014852,              0.0014852
                     15,                0.78611,                0.47303,                  1.103,                0.97826,                0.93079,                0.97285,                 0.7969,                0.70906,                0.42005,                 1.0429,              0.0014456,              0.0014456,              0.0014456
                     16,                0.78417,                0.47465,                 1.0995,                 0.9689,                 0.9311,                 0.9668,                0.78778,                0.73341,                0.43712,                 1.0762,               0.001406,               0.001406,               0.001406
                     17,                0.77855,                0.47054,                 1.1052,                0.96462,                0.94018,                0.97042,                0.81616,                0.66545,                0.41697,                   1.02,              0.0013664,              0.0013664,              0.0013664
                     18,                0.76302,                0.45289,                 1.0875,                0.96076,                 0.9568,                 0.9755,                  0.809,                0.70417,                0.37684,                 1.0499,              0.0013268,              0.0013268,              0.0013268
                     19,                0.76139,                0.45277,                 1.0938,                0.96269,                0.94894,                0.97341,                0.82909,                0.65407,                0.37077,                 1.0261,              0.0012872,              0.0012872,              0.0012872
                     20,                0.72721,                0.43226,                 1.0726,                0.97306,                0.93793,                 0.9719,                0.79656,                0.71668,                0.38986,                 1.0611,              0.0012476,              0.0012476,              0.0012476
                     21,                0.72228,                0.42545,                 1.0675,                0.96459,                0.94253,                0.97636,                0.82055,                0.65929,                0.37585,                 1.0249,               0.001208,               0.001208,               0.001208
                     22,                0.72718,                0.43064,                 1.0657,                0.96931,                0.94374,                0.97531,                0.82729,                0.65127,                 0.3814,                 1.0211,              0.0011684,              0.0011684,              0.0011684
                     23,                 0.7171,                0.42279,                 1.0598,                0.95028,                0.96322,                0.97378,                0.81378,                0.66806,                0.38589,                  1.022,              0.0011288,              0.0011288,              0.0011288
                     24,                0.70766,                0.41804,                 1.0549,                0.98311,                0.93643,                0.98102,                0.83634,                0.63395,                0.35207,                 1.0013,              0.0010892,              0.0010892,              0.0010892
